# Ant nr. 1 total distance.;# Ant nr. 1 total Y distance.
156.352;-108.294
# Ant nr. 2 total distance.;# Ant nr. 2 total Y distance.
54.6408;50.6795
# Ant nr. 3 total distance.;# Ant nr. 3 total Y distance.
168.238;-84.2611
# Ant nr. 4 total distance.;# Ant nr. 4 total Y distance.
92.2342;-28.7835
# Ant nr. 5 total distance.;# Ant nr. 5 total Y distance.
168.813;-106.821
# Ant nr. 6 total distance.;# Ant nr. 6 total Y distance.
145.232;-93.6564
# Ant nr. 7 total distance.;# Ant nr. 7 total Y distance.
39.7903;24.4832
# Ant nr. 8 total distance.;# Ant nr. 8 total Y distance.
163.133;-111.42
# Ant nr. 9 total distance.;# Ant nr. 9 total Y distance.
168.808;-106.666
# Ant nr. 10 total distance.;# Ant nr. 10 total Y distance.
136.66;-100.297
# Ant nr. 11 total distance.;# Ant nr. 11 total Y distance.
55.8936;10.2159
# Ant nr. 12 total distance.;# Ant nr. 12 total Y distance.
154.474;-109.124
# Ant nr. 13 total distance.;# Ant nr. 13 total Y distance.
55.9029;47.7872
# Ant nr. 14 total distance.;# Ant nr. 14 total Y distance.
160.312;-103.225
# Ant nr. 15 total distance.;# Ant nr. 15 total Y distance.
167.582;-96.5086
