#1 AntPos X;#2 AntPos Y;#3 Distance form nest;#4 Total Distance;#5 Total Y Distance
10.745;-3.94156;11.4451;0.2;-0.135803
10.8918;-4.07736;11.63;0.4;-0.271607
11.0387;-4.21316;11.8154;0.6;-0.40741
11.1855;-4.34897;12.0012;0.8;-0.543213
11.3323;-4.48477;12.1875;1;-0.679017
11.4791;-4.62057;12.3742;1.2;-0.81482
11.626;-4.75638;12.5613;1.4;-0.950623
11.7728;-4.89218;12.7488;1.6;-1.08643
11.9196;-5.02798;12.9367;1.8;-1.22223
12.0664;-5.16379;13.1249;2;-1.35803
12.2133;-5.29959;13.3135;2.2;-1.49384
12.3601;-5.43539;13.5024;2.4;-1.62964
12.5069;-5.5712;13.6916;2.6;-1.76544
12.6537;-5.707;13.8812;2.8;-1.90125
12.7396;-5.90877;14.0431;3.00135;-2.10302
12.8178;-6.09283;14.1922;3.18705;-2.28708
12.7893;-6.32224;14.2667;3.33674;-2.51649
12.7647;-6.52072;14.3338;3.47346;-2.71497
12.7401;-6.7192;14.4034;3.61608;-2.91345
12.7154;-6.91767;14.4754;3.76386;-3.11192
12.673;-7.11393;14.5332;3.90498;-3.30818
12.6098;-7.30489;14.5729;4.03615;-3.49914
12.5399;-7.49242;14.6077;4.16674;-3.68667
12.456;-7.67461;14.6305;4.2918;-3.86885
12.3695;-7.85496;14.6528;4.41969;-4.0492
12.2783;-8.03302;14.6726;4.54891;-4.22727
12.1834;-8.20913;14.691;4.68003;-4.40338
12.0856;-8.38361;14.7087;4.81344;-4.57786
11.9275;-8.52427;14.6605;4.9022;-4.71852
11.7781;-8.65722;14.6175;4.99288;-4.85146
11.646;-8.80966;14.6028;5.11245;-5.00391
11.4995;-8.94736;14.5703;5.22001;-5.14161
11.3141;-9.04212;14.4834;5.28508;-5.23636
11.0752;-9.01406;14.2798;5.2301;-5.20831
10.879;-8.96989;14.1001;5.17177;-5.16414
10.688;-8.90781;13.9134;5.10285;-5.10206
10.4983;-8.84426;13.7272;5.0395;-5.03851
10.3087;-8.78071;13.5414;4.98338;-4.97496
10.119;-8.71719;13.3561;4.93475;-4.91144
9.92654;-8.66222;13.1746;4.90269;-4.85646
9.72317;-8.64601;13.0113;4.91871;-4.84025
9.52377;-8.6305;12.8525;4.94293;-4.82474
9.32406;-8.61901;12.6975;4.97905;-4.81326
9.12369;-8.61973;12.5516;5.03474;-4.81398
8.92371;-8.62576;12.4111;5.10259;-4.82001
8.72396;-8.63692;12.2761;5.18199;-4.83117
8.52448;-8.65192;12.1459;5.27121;-4.84617
8.32526;-8.66983;12.0198;5.36894;-4.86408
8.12627;-8.68996;11.8975;5.47411;-4.88421
7.92745;-8.71177;11.7788;5.58586;-4.90602
7.72879;-8.73485;11.6633;5.70347;-4.9291
7.53023;-8.7589;11.5509;5.82632;-4.95314
7.33177;-8.78365;11.4415;5.95391;-4.9779
7.13337;-8.80894;11.335;6.0858;-5.00319
6.93503;-8.83463;11.2314;6.22161;-5.02888
6.73672;-8.8606;11.1308;6.36101;-5.05485
6.53845;-8.88679;11.033;6.50373;-5.08104
6.34019;-8.91313;10.9381;6.64951;-5.10738
6.14194;-8.93958;10.8462;6.79812;-5.13383
5.94371;-8.96611;10.7573;6.94936;-5.16036
5.74549;-8.9927;10.6714;7.10304;-5.18695
5.54727;-9.01933;10.5887;7.25901;-5.21358
5.34905;-9.04599;10.5092;7.41712;-5.24024
5.15084;-9.07267;10.4329;7.57721;-5.26692
4.95263;-9.09936;10.3599;7.73917;-5.29361
4.75442;-9.12606;10.2903;7.90287;-5.32031
4.55621;-9.15277;10.2241;8.06822;-5.34702
4.358;-9.17949;10.1615;8.23511;-5.37373
4.1598;-9.2062;10.1024;8.40344;-5.40045
3.96159;-9.23292;10.0469;8.57314;-5.42717
3.76338;-9.25964;9.9952;8.74412;-5.45389
3.56518;-9.28636;9.94721;8.9163;-5.48061
3.36697;-9.31308;9.90303;9.08963;-5.50733
3.16876;-9.33981;9.86271;9.26403;-5.53405
2.97055;-9.36653;9.82629;9.43945;-5.56078
2.77235;-9.39325;9.79383;9.61582;-5.5875
2.57414;-9.41997;9.76535;9.79311;-5.61422
2.37593;-9.4467;9.7409;9.97125;-5.64094
2.17773;-9.47342;9.7205;10.1502;-5.66767
1.97952;-9.50014;9.70419;10.3299;-5.69439
1.78131;-9.52687;9.69197;10.5104;-5.72111
1.58311;-9.55359;9.68387;10.6916;-5.74784
1.3849;-9.58031;9.67989;10.8734;-5.77456
1.18669;-9.60704;9.68005;11.0558;-5.80128
0.988488;-9.63376;9.68434;11.2389;-5.828
0.790281;-9.66048;9.69275;11.4225;-5.85473
0.592075;-9.6872;9.70528;11.6066;-5.88145
0.393868;-9.71393;9.72191;11.7913;-5.90817
0.195661;-9.74065;9.74261;11.9765;-5.9349
-0.00254547;-9.76737;9.76737;12.1621;-5.96162
-0.200752;-9.7941;9.79615;12.3482;-5.98834
-0.398959;-9.82082;9.82892;12.5347;-6.01507
-0.597165;-9.84754;9.86563;12.7216;-6.04179
-0.795372;-9.87426;9.90625;12.9089;-6.06851
-0.993579;-9.90099;9.95072;13.0966;-6.09523
-1.19179;-9.92771;9.99899;13.2847;-6.12196
-1.38999;-9.95443;10.051;13.473;-6.14868
-1.5882;-9.98116;10.1067;13.6618;-6.1754
-1.78641;-10.0079;10.1661;13.8508;-6.20213
-1.98461;-10.0346;10.229;14.0401;-6.22885
-2.18282;-10.0613;10.2954;14.2298;-6.25557
-2.38103;-10.088;10.3652;14.4197;-6.2823
-2.57923;-10.1148;10.4384;14.6099;-6.30902
-2.77744;-10.1415;10.5149;14.8003;-6.33574
-2.97565;-10.1682;10.5947;14.991;-6.36246
-3.17385;-10.1949;10.6776;15.1819;-6.38919
-3.37206;-10.2217;10.7635;15.3731;-6.41591
-3.57027;-10.2484;10.8525;15.5645;-6.44263
-3.76847;-10.2751;10.9444;15.7561;-6.46936
-3.96668;-10.3018;11.0391;15.9479;-6.49608
-4.16489;-10.3286;11.1367;16.1399;-6.5228
-4.36309;-10.3553;11.2369;16.3321;-6.54952
-4.5613;-10.382;11.3398;16.5244;-6.57625
-4.75951;-10.4087;11.4453;16.717;-6.60297
-4.95771;-10.4354;11.5532;16.9097;-6.62969
-5.15592;-10.4622;11.6636;17.1026;-6.65642
-5.35413;-10.4889;11.7764;17.2957;-6.68314
-5.55236;-10.5154;11.8913;17.4889;-6.70969
-5.75282;-10.5253;11.9949;17.6779;-6.71955
-5.95827;-10.4195;12.0028;17.8286;-6.61372
-6.13218;-10.3203;12.0047;17.954;-6.51458
-6.24664;-10.1173;11.8903;17.9884;-6.31154
-6.28829;-9.91118;11.7377;17.9563;-6.10543
-6.29776;-9.70905;11.5727;17.8975;-5.9033
-6.28303;-9.50814;11.3965;17.8183;-5.70239
-6.24839;-9.31014;11.2125;17.723;-5.50439
-6.19795;-9.11593;11.0234;17.6156;-5.31018
-6.1351;-8.92562;10.8308;17.499;-5.11986
-6.06264;-8.73892;10.636;17.3758;-4.93317
-5.98284;-8.55536;10.4398;17.2479;-4.74961
-5.8975;-8.37438;10.2426;17.1167;-4.56862
-5.80818;-8.19538;10.0449;16.9835;-4.38962
-5.71716;-8.01728;9.84696;16.8502;-4.21152
-5.67787;-7.81275;9.65802;16.762;-4.007
-5.69384;-7.60603;9.50113;16.7294;-3.80028
-5.72378;-7.40775;9.36143;16.7147;-3.60199
-5.88197;-7.22937;9.31994;16.832;-3.42361
-6.0254;-7.08925;9.30392;16.9448;-3.2835
-6.18933;-6.97085;9.32204;17.0833;-3.16509
-6.3664;-6.87443;9.36957;17.2399;-3.06868
-6.55211;-6.79726;9.44102;17.4093;-2.99151
-6.74337;-6.73633;9.53159;17.5874;-2.93058
-6.93812;-6.68877;9.63728;17.7717;-2.88302
-7.13501;-6.65197;9.75485;17.9602;-2.84622
-7.33319;-6.62367;9.88173;18.1514;-2.81791
-7.53211;-6.60195;10.0159;18.3447;-2.7962
-7.73148;-6.58529;10.1559;18.5392;-2.77954
-7.93111;-6.57248;10.3005;18.7347;-2.76673
-8.13089;-6.56258;10.4489;18.9309;-2.75683
-8.33075;-6.55488;10.6004;19.1275;-2.74913
-8.53066;-6.54877;10.7545;19.3245;-2.74301
-8.73045;-6.53869;10.9076;19.5209;-2.73294
-8.9268;-6.46129;11.0198;19.7048;-2.65554
-9.10194;-6.36022;11.1039;19.8651;-2.55447
-9.2796;-6.26795;11.1981;20.0297;-2.46219
-9.49678;-6.25219;11.3701;20.2433;-2.44644
-9.69797;-6.26139;11.5436;20.4442;-2.45564
-9.89735;-6.27962;11.7214;20.6443;-2.47387
-10.0962;-6.30183;11.9015;20.8443;-2.49608
-10.2947;-6.3258;12.0829;21.0443;-2.52004
