#1 AntPos X;#2 AntPos Y;#3 Distance form nest;#4 Total Distance;#5 Total Y Distance
4.05497;15.8611;16.3713;0.2433;-0.146262
4.20214;15.7284;16.2801;0.441071;-0.279019
4.34774;15.5981;16.1927;0.636317;-0.409307
4.48782;15.4676;16.1055;0.827571;-0.539814
4.62716;15.4024;16.0824;0.976595;-0.605002
4.81087;15.3206;16.0582;1.17252;-0.686791
5.01252;15.2477;16.0505;1.37991;-0.759673
5.17583;15.2107;16.0672;1.53777;-0.796702
5.36419;15.2278;16.145;1.69372;-0.779566
5.53535;15.2201;16.1954;1.85062;-0.787274
5.72889;15.2431;16.2841;2.01862;-0.764284
5.88587;15.2705;16.3656;2.1552;-0.736854
6.06683;15.2424;16.4054;2.33515;-0.765
6.22438;15.1903;16.4161;2.50107;-0.81708
6.40996;15.1143;16.4173;2.70133;-0.893113
6.59638;14.9993;16.3857;2.91567;-1.00812
6.76513;14.9152;16.3777;3.10314;-1.09219
6.94804;14.826;16.3733;3.30582;-1.18142
7.14565;14.7242;16.3665;3.52682;-1.28316
7.26585;14.6346;16.339;3.6716;-1.3728
7.45182;14.5021;16.3046;3.894;-1.5053
7.61977;14.4329;16.3208;4.07566;-1.57453
7.81534;14.3613;16.3501;4.28369;-1.64608
8.02747;14.2904;16.3907;4.50683;-1.71703
8.23272;14.2198;16.4311;4.72351;-1.78763
8.44568;14.1454;16.4749;4.94879;-1.862
8.64708;14.1111;16.5498;5.14847;-1.89625
8.83255;14.0925;16.6316;5.32803;-1.91493
9.06577;14.0935;16.7575;5.54595;-1.91393
9.28484;14.0799;16.8657;5.75658;-1.9275
9.47956;14.0518;16.9503;5.94961;-1.95564
9.64416;14.0229;17.0192;6.1146;-1.98448
9.84588;13.991;17.1081;6.31588;-2.01645
10.0445;13.9546;17.1937;6.51576;-2.05279
10.2257;13.9056;17.2606;6.70316;-2.10181
10.3421;13.8726;17.3034;6.82405;-2.13477
10.5526;13.8515;17.4133;7.0308;-2.15592
10.7529;13.815;17.5066;7.23268;-2.1924
10.9027;13.6593;17.477;7.42334;-2.34813
10.954;13.4187;17.322;7.55111;-2.58874
11.0025;13.223;17.2018;7.66557;-2.78441
10.9992;12.9696;17.0057;7.75814;-3.03782
10.9138;12.8077;16.827;7.74509;-3.1997
10.7889;12.6483;16.6247;7.69968;-3.35909
10.6683;12.4908;16.4266;7.66241;-3.51659
10.5503;12.3457;16.2397;7.62633;-3.66166
10.4527;12.1929;16.06;7.61626;-3.81455
10.3586;12.0732;15.908;7.59623;-3.93417
10.2182;11.9452;15.7194;7.54458;-4.06217
10.0639;11.8109;15.517;7.48946;-4.19652
9.90647;11.7035;15.3333;7.42139;-4.30393
9.71532;11.6073;15.1366;7.32387;-4.40007
9.52692;11.5386;14.9634;7.2165;-4.46879
9.34727;11.481;14.8049;7.11281;-4.52636
9.17087;11.4055;14.6353;7.02687;-4.60189
8.94925;11.3238;14.4332;6.91599;-4.68359
8.76875;11.2023;14.2261;6.86874;-4.80511
8.61961;11.1235;14.0723;6.81916;-4.88387
8.47472;11.0512;13.9266;6.77163;-4.95623
8.29316;10.9662;13.749;6.71281;-5.0412
8.07194;10.8466;13.5205;6.66108;-5.16083
7.8934;10.7535;13.3396;6.62322;-5.25387
7.75992;10.6559;13.182;6.62144;-5.35147
7.66439;10.5813;13.0654;6.62664;-5.42615
7.52367;10.4617;12.8861;6.64632;-5.54573
7.31167;10.3456;12.6685;6.63071;-5.6618
7.09533;10.3158;12.5204;6.54663;-5.69162
6.86803;10.2898;12.3714;6.46031;-5.71757
6.67988;10.3034;12.2793;6.3627;-5.70397
6.45678;10.3176;12.1714;6.25416;-5.68982
6.25918;10.3132;12.064;6.17876;-5.69417
6.06103;10.3779;12.0182;6.04432;-5.62954
5.88542;10.4193;11.9666;5.94365;-5.5881
5.72649;10.4216;11.8912;5.88927;-5.58585
5.49626;10.5022;11.8535;5.74306;-5.50519
5.29963;10.5257;11.7846;5.66741;-5.48165
5.09451;10.5493;11.715;5.59583;-5.45808
4.91545;10.6064;11.6901;5.50304;-5.40098
4.7411;10.6975;11.701;5.38244;-5.30992
4.55578;10.7873;11.7099;5.26616;-5.22006
4.37233;10.8676;11.7142;5.16519;-5.13977
4.1955;10.9504;11.7267;5.06804;-5.05696
4.0242;11.0515;11.7614;4.95862;-4.95591
3.86323;11.1704;11.8196;4.83701;-4.83701
3.69036;11.2602;11.8495;4.75028;-4.74723
3.5019;11.3618;11.8893;4.6594;-4.64558
3.33487;11.4546;11.9302;4.58303;-4.55278
3.14378;11.5283;11.9493;4.53607;-4.47908
2.93785;11.608;11.974;4.49513;-4.39941
2.74656;11.6282;11.9481;4.51871;-4.37925
2.53307;11.6061;11.8794;4.59709;-4.40126
2.33591;11.5939;11.8269;4.6694;-4.41348
2.12047;11.5697;11.7624;4.76666;-4.4377
1.89306;11.5626;11.7165;4.86081;-4.44483
1.71193;11.5731;11.699;4.92742;-4.43429
1.52698;11.5979;11.698;4.98892;-4.40951
1.33717;11.6024;11.6792;5.07654;-4.40499
1.15061;11.572;11.6291;5.19773;-4.43539
0.960544;11.5052;11.5452;5.35535;-4.5022
0.778819;11.3661;11.3928;5.57122;-4.64129
0.655718;11.1974;11.2166;5.7799;-4.81003
0.591895;10.9961;11.012;5.98312;-5.01135
0.541822;10.8011;10.8147;6.17407;-5.20627
0.531063;10.5833;10.5966;6.36447;-5.42412
0.566204;10.3832;10.3987;6.51798;-5.62418
0.585924;10.1752;10.192;6.68863;-5.83221
0.609663;9.99516;10.0137;6.83485;-6.01224
0.626291;9.80356;9.82354;6.99629;-6.20384
0.65119;9.64035;9.66232;7.13016;-6.36705
0.619735;9.44652;9.46682;7.31765;-6.56088
0.513072;9.24784;9.26206;7.54302;-6.75956
0.500824;9.02801;9.04189;7.74594;-6.97939
0.505565;8.80811;8.82261;7.94265;-7.19929
0.513292;8.60435;8.61965;8.12461;-7.40305
0.55011;8.42556;8.4435;8.27305;-7.58184
0.566606;8.20249;8.22203;8.47152;-7.80492
0.557253;8.02963;8.04895;8.63461;-7.97777
0.532307;7.80891;7.82703;8.8483;-8.1985
0.495347;7.57192;7.5881;9.08196;-8.43548
0.467761;7.37301;7.38783;9.27705;-8.63439
0.438412;7.1717;7.18509;9.47526;-8.8357
0.432193;6.97281;6.98619;9.6632;-9.03459
0.446258;6.78596;6.80062;9.83323;-9.22144
0.456746;6.59169;6.6075;10.0121;-9.41571
0.476315;6.41184;6.42951;10.1749;-9.59556
0.507684;6.22729;6.24795;10.3389;-9.78011
0.543659;6.02995;6.05441;10.5143;-9.97745
0.575387;5.85098;5.8792;10.6745;-10.1564
0.627916;5.64205;5.67688;10.8577;-10.3654
0.691894;5.44497;5.48876;11.0275;-10.5624
0.697022;5.29113;5.33684;11.1735;-10.7163
0.685984;5.09977;5.1457;11.3602;-10.9076
0.714371;4.89863;4.95044;11.5457;-11.1088
0.901057;4.76993;4.85429;11.6206;-11.2375
1.02662;4.61144;4.72434;11.743;-11.396
1.26898;4.47379;4.65028;11.8212;-11.5336
1.50141;4.40912;4.65774;11.8358;-11.5983
1.69566;4.37566;4.69273;11.8315;-11.6317
1.91196;4.40916;4.80586;11.7608;-11.5982
2.11676;4.46384;4.9403;11.6745;-11.5436
2.31536;4.51835;5.07705;11.5925;-11.489
2.5087;4.53921;5.18633;11.5476;-11.4682
2.69527;4.61659;5.34578;11.4503;-11.3908
2.88169;4.72373;5.53333;11.3261;-11.2837
3.06868;4.80793;5.70377;11.2274;-11.1995
3.26664;4.89539;5.88522;11.1279;-11.112
3.43123;4.93529;6.01086;11.0804;-11.0721
3.60185;4.96657;6.13515;11.0439;-11.0408
3.77025;4.94613;6.21924;11.0616;-11.0613
3.96965;4.91305;6.31634;11.0949;-11.0944
4.16344;4.82515;6.37309;11.1864;-11.1823
4.35966;4.78063;6.47001;11.2379;-11.2268
4.55131;4.68113;6.52897;11.3473;-11.3263
4.72026;4.59272;6.58589;11.447;-11.4147
4.91333;4.46214;6.63713;11.5932;-11.5453
5.03124;4.36799;6.66279;11.6981;-11.6394
5.18142;4.24138;6.696;11.8399;-11.766
5.32889;4.10035;6.72383;11.9972;-11.9071
5.39473;3.91956;6.66829;12.1848;-12.0878
5.54361;3.70084;6.66542;12.4211;-12.3066
5.68249;3.55631;6.70358;12.5837;-12.4511
5.83333;3.43049;6.76727;12.7307;-12.5769
5.96692;3.31008;6.82355;12.8709;-12.6973
6.12204;3.18331;6.90021;13.022;-12.8241
6.28291;3.06164;6.98917;13.1704;-12.9458
6.4526;2.94144;7.09141;13.3206;-13.066
6.62431;2.82868;7.20299;13.4654;-13.1787
6.76183;2.77873;7.31052;13.5431;-13.2287
