#1 AntPos X;#2 AntPos Y;#3 Distance form nest;#4 Total Distance;#5 Total Y Distance
-13.9189;11.5839;18.1086;0.206898;-0.0979106
-14.0912;11.4937;18.1842;0.40142;-0.188201
-14.2762;11.4068;18.2736;0.605616;-0.275025
-14.4714;11.3299;18.379;0.81476;-0.351976
-14.6642;11.2626;18.4901;1.01795;-0.419274
-14.8549;11.2112;18.6107;1.21325;-0.470632
-15.0506;11.1585;18.7359;1.41437;-0.523312
-15.2574;11.0893;18.8616;1.6322;-0.592586
-15.451;10.9965;18.9646;1.84633;-0.685349
-15.6324;10.9182;19.0678;2.0438;-0.763634
-15.7865;10.8339;19.1464;2.21836;-0.847991
-15.983;10.7324;19.2521;2.43882;-0.949415
-16.1512;10.6485;19.3456;2.62637;-1.03333
-16.327;10.536;19.4314;2.83253;-1.14585
-16.4995;10.4074;19.5077;3.04268;-1.27444
-16.6602;10.2965;19.5852;3.23517;-1.38532
-16.8285;10.1844;19.6703;3.43544;-1.49749
-16.9991;10.0618;19.7537;3.64258;-1.62006
-17.1465;9.93594;19.8173;3.83086;-1.74591
-17.3009;9.80683;19.887;4.02739;-1.87503
-17.4428;9.68217;19.9498;4.21125;-1.99969
-17.602;9.5551;20.0282;4.41185;-2.12676
-17.7583;9.43015;20.1068;4.60915;-2.25171
-17.9281;9.29511;20.1945;4.82342;-2.38675
-18.0884;9.15591;20.2737;5.03177;-2.52595
-18.2411;9.02157;20.3501;5.23141;-2.66028
-18.3979;8.89946;20.4373;5.42854;-2.78239
-18.5349;8.77187;20.5058;5.61176;-2.90999
-18.6912;8.64839;20.595;5.80945;-3.03346
-18.8459;8.525;20.6844;6.00589;-3.15686
-19.006;8.3962;20.7779;6.20981;-3.28565
-19.1651;8.27387;20.8748;6.40961;-3.40799
-19.3469;8.15945;20.9971;6.62442;-3.52241
-19.5158;8.05263;21.1118;6.82422;-3.62922
-19.6836;7.9512;21.2289;7.02034;-3.73066
-19.8631;7.85928;21.3614;7.2212;-3.82258
-20.0487;7.77026;21.5018;7.42583;-3.9116
-20.231;7.69011;21.6432;7.62304;-3.99174
-20.3955;7.60097;21.7658;7.80991;-4.08089
-20.5832;7.51204;21.9111;8.01642;-4.16982
-20.7575;7.41084;22.0408;8.21797;-4.27101
-20.9374;7.28392;22.1683;8.43765;-4.39794
-21.1188;7.16355;22.3006;8.65514;-4.51831
-21.2797;7.06971;22.4233;8.84139;-4.61215
-21.4686;6.96921;22.5714;9.05495;-4.71265
-21.6383;6.88914;22.7085;9.2416;-4.79271
-21.8271;6.80232;22.8625;9.44807;-4.87953
-22.0274;6.73861;23.0351;9.65258;-4.94324
-22.216;6.69274;23.2022;9.83825;-4.98911
-22.4112;6.64577;23.3758;10.0305;-5.03609
-22.6052;6.59242;23.5469;10.2252;-5.08944
-22.7691;6.5213;23.6846;10.4027;-5.16056
-22.9563;6.45038;23.8454;10.6006;-5.23148
-23.1303;6.36657;23.9905;10.7932;-5.31529
-23.3231;6.28737;24.1557;11.0001;-5.39449
-23.5411;6.21353;24.3473;11.2263;-5.46833
-23.7307;6.15416;24.5157;11.4209;-5.52769
-23.9224;6.07916;24.6828;11.625;-5.60269
-24.1094;6.00665;24.8464;11.8238;-5.6752
-24.281;5.92559;24.9936;12.0133;-5.75626
-24.4611;5.84196;25.149;12.2114;-5.83989
-24.6437;5.74851;25.3052;12.4165;-5.93334
-24.818;5.66459;25.4563;12.6097;-6.01727
-25.0047;5.58352;25.6205;12.8125;-6.09834
-25.2023;5.50856;25.7973;13.022;-6.1733
-25.3889;5.43535;25.9641;13.221;-6.24651
-25.5797;5.32772;26.1286;13.44;-6.35413
-25.7467;5.22331;26.2712;13.6365;-6.45855
-25.9281;5.12365;26.4295;13.8435;-6.55821
-26.0739;5.03147;26.555;14.0156;-6.65039
-26.2563;4.93931;26.7168;14.2199;-6.74255
-26.4428;4.84161;26.8824;14.4304;-6.84024
-26.6051;4.73977;27.024;14.6216;-6.94209
-26.773;4.63302;27.1709;14.8201;-7.04884
-26.9437;4.52285;27.3207;15.0226;-7.159
-27.1271;4.35457;27.4744;15.2642;-7.32729
-27.2734;4.22126;27.5981;15.4565;-7.4606
-27.4263;4.07452;27.7273;15.6614;-7.60734
-27.5563;3.93294;27.8355;15.8439;-7.74892
-27.6914;3.78584;27.9489;16.0338;-7.89601
-27.8238;3.64223;28.0612;16.2199;-8.03963
-27.9813;3.4875;28.1978;16.4335;-8.19436
-28.1189;3.35316;28.3181;16.6198;-8.3287
-28.2495;3.22141;28.4326;16.7989;-8.46045
-28.4158;3.07138;28.5813;17.0182;-8.61048
-28.5553;2.93836;28.706;17.2059;-8.7435
-28.6861;2.8118;28.8236;17.3829;-8.87006
-28.8302;2.67169;28.9538;17.5784;-9.01016
-28.9694;2.52864;29.0795;17.7713;-9.15322
-29.1253;2.38095;29.2225;17.9811;-9.30091
-29.2707;2.24344;29.3566;18.1767;-9.43841
-29.4281;2.11555;29.5041;18.3777;-9.56631
-29.5847;1.99135;29.6517;18.576;-9.69051
-29.7498;1.87488;29.8089;18.7777;-9.80698
-29.9115;1.7587;29.9631;18.9762;-9.92316

29.9326;1.63405;29.9771;19.1743;-10.0478
29.7686;1.52021;29.8074;19.3736;-10.1616
29.6043;1.40615;29.6377;19.5733;-10.2757
29.4244;1.29756;29.453;19.7835;-10.3843
29.2422;1.19145;29.2665;19.9942;-10.4904
29.069;1.10419;29.0899;20.1875;-10.5777
28.8903;1.00347;28.9077;20.3924;-10.6784
28.7149;0.908078;28.7293;20.5918;-10.7738
28.5264;0.795174;28.5374;20.8116;-10.8867
28.354;0.690036;28.3624;21.0135;-10.9918
28.1822;0.58006;28.1882;21.2174;-11.1018
28.0106;0.471711;28.0145;21.4204;-11.2101
27.8424;0.358602;27.8447;21.6229;-11.3233
27.6781;0.236411;27.6791;21.8269;-11.4454
27.529;0.122287;27.5292;22.0137;-11.5596
27.365;0.0139714;27.365;22.2101;-11.6679
27.1985;-0.110873;27.1987;22.4174;-11.7927
27.0401;-0.217178;27.041;22.608;-11.899
26.8639;-0.304988;26.8656;22.8041;-11.9868
26.6868;-0.396266;26.6897;23.0027;-12.0781
26.4987;-0.498144;26.5034;23.2163;-12.18
26.29;-0.599248;26.2968;23.447;-12.2811
26.1108;-0.685796;26.1198;23.645;-12.3677
25.9291;-0.772103;25.9406;23.845;-12.454
25.7468;-0.854427;25.7609;24.0435;-12.5363
25.561;-0.922781;25.5776;24.2377;-12.6046
25.3805;-1.01131;25.4007;24.4379;-12.6932
25.1983;-1.10011;25.2223;24.6398;-12.782
24.9961;-1.21175;25.0254;24.8706;-12.8936
24.7897;-1.30728;24.8241;25.0966;-12.9891
24.6201;-1.39494;24.6596;25.2871;-13.0768
24.4229;-1.516;24.4699;25.5185;-13.1979
24.2584;-1.62143;24.3126;25.7137;-13.3033
24.0855;-1.73163;24.1477;25.9187;-13.4135
23.9293;-1.83527;23.9995;26.1061;-13.5171
23.7611;-1.94219;23.8403;26.3053;-13.624
23.5894;-2.04509;23.6779;26.5055;-13.7269
23.4277;-2.14295;23.5255;26.6945;-13.8248
23.2619;-2.26485;23.3719;26.8994;-13.9467
23.101;-2.38044;23.2233;27.097;-14.0623
22.9322;-2.47205;23.0651;27.2887;-14.1539
22.769;-2.55762;22.9122;27.4727;-14.2395
22.6071;-2.64693;22.7616;27.6574;-14.3288
22.4371;-2.74801;22.6047;27.8552;-14.4299
22.2729;-2.86247;22.4561;28.0549;-14.5443
22.1056;-2.97372;22.3047;28.2557;-14.6556
21.9352;-3.08195;22.1507;28.4575;-14.7638
21.7666;-3.19705;22.0001;28.6614;-14.8789
21.6001;-3.32307;21.8542;28.8691;-15.0049
21.4519;-3.46064;21.7293;29.0672;-15.1425
21.32;-3.62337;21.6257;29.2647;-15.3052
21.1914;-3.77778;21.5255;29.4551;-15.4596
21.0614;-3.92844;21.4246;29.645;-15.6103
20.9326;-4.07878;21.3263;29.8336;-15.7606
20.8062;-4.19367;21.2246;30.0017;-15.8755
20.6604;-4.36262;21.116;30.2149;-16.0445
20.5327;-4.51653;21.0236;30.4049;-16.1984
20.4089;-4.67264;20.937;30.5929;-16.3545
20.284;-4.82898;20.8509;30.7821;-16.5108
20.1659;-4.97542;20.7707;30.9603;-16.6573
20.0409;-5.12909;20.6868;31.1485;-16.8109
19.9206;-5.29045;20.6111;31.3369;-16.9723
19.8106;-5.45136;20.5469;31.5166;-17.1332
19.7017;-5.61993;20.4875;31.6998;-17.3018
19.5866;-5.77339;20.4197;31.8801;-17.4552
19.4657;-5.95014;20.3548;32.0781;-17.632
19.352;-6.11507;20.2952;32.2638;-17.7969
19.2126;-6.27655;20.2119;32.4692;-17.9584
19.0781;-6.41809;20.1287;32.6596;-18.0999
18.9557;-6.57755;20.0644;32.8499;-18.2594
18.8271;-6.75284;20.0015;33.0543;-18.4347
18.6993;-6.92144;19.9391;33.2545;-18.6033
18.6004;-7.08091;19.9026;33.4258;-18.7628
18.5102;-7.24217;19.8765;33.5911;-18.924
